,date,time,round,day,home_team,away_team,goals_home,goals_away,xg_home,xg_away,poss_home,formation_home,referee,sh_home,sot_home,dist_home,fk_home,pk_home,pkatt_home,season,target,poss_away,formation_away,sh_away,sot_away,dist_away,fk_away,pk_away,pkatt_away,time_group,xg_home_rolling,xg_away_rolling,poss_home_rolling,sh_home_rolling,sot_home_rolling,dist_home_rolling,fk_home_rolling,pk_home_rolling,goals_home_rolling,goals_away_rolling,pkatt_home_rolling,poss_away_rolling,sh_away_rolling,sot_away_rolling,dist_away_rolling,fk_away_rolling,pk_away_rolling,pkatt_away_rolling
30,2024-03-30,21,30,5,10,6,1.0,0.0,1.7,0.3,69.0,4-3-3,Mateo Busquets,14.0,2.0,19.8,1.0,0,0,2024,0,31.0,4-5-1,8.0,0.0,20.4,1.0,0,0,2,1.4000000000000001,1.2333333333333332,60.666666666666664,12.0,3.6666666666666665,19.133333333333333,0.3333333333333333,0.0,1.3333333333333333,1.0,0.3333333333333333,69.0,16.333333333333332,4.333333333333333,21.166666666666668,0.3333333333333333,0.0,0.0
31,2023-08-20,19,2,6,7,3,3.0,0.0,1.4,0.7,63.0,4-1-4-1,Jorge Figueroa,7.0,6.0,16.1,1.0,0,0,2024,0,37.0,4-2-3-1,9.0,2.0,17.9,1.0,0,0,1,0.8,0.6,52.0,6.0,1.0,12.2,0.0,0.0,1.0,0.0,0.0,26.0,5.0,2.0,15.6,0.0,0.0,0.0
32,2023-09-03,14,4,6,7,6,1.0,0.0,1.0,1.1,46.0,4-1-4-1,Mateo Busquets,11.0,6.0,16.2,0.0,0,0,2024,0,54.0,4-2-3-1,10.0,5.0,20.6,1.0,0,0,0,1.3,0.7666666666666666,54.333333333333336,7.0,3.3333333333333335,15.300000000000002,0.3333333333333333,0.0,2.0,0.3333333333333333,0.0,60.333333333333336,7.333333333333333,2.3333333333333335,23.96666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333
33,2023-09-23,14,6,5,7,18,5.0,3.0,3.2,1.8,56.0,4-1-4-1,Pablo González,22.0,8.0,16.6,0.0,1,1,2024,0,44.0,5-4-1,14.0,4.0,17.8,0.0,1,1,0,1.8333333333333333,1.2666666666666666,50.333333333333336,10.666666666666666,5.0,17.166666666666668,0.3333333333333333,0.0,2.3333333333333335,1.0,0.0,40.0,8.0,3.0,15.799999999999999,0.0,0.0,0.3333333333333333
34,2023-09-30,18,8,5,7,19,0.0,3.0,1.6,2.3,52.0,4-1-4-1,Juan Pulido,13.0,3.0,19.7,0.0,0,0,2024,1,48.0,4-3-1-2,14.0,7.0,16.2,0.0,0,0,1,2.6999999999999997,1.5666666666666667,53.333333333333336,17.333333333333332,6.333333333333333,16.966666666666665,0.3333333333333333,0.3333333333333333,3.6666666666666665,1.6666666666666667,0.3333333333333333,54.333333333333336,19.333333333333332,7.333333333333333,17.933333333333334,0.6666666666666666,0.0,0.0
35,2023-10-22,16,10,6,7,1,5.0,2.0,1.9,1.0,66.0,3-4-3,Miguel Ángel Ortiz Arias,19.0,8.0,18.1,1.0,0,0,2024,0,34.0,4-2-3-1,9.0,5.0,22.4,1.0,0,0,1,1.6333333333333335,1.5999999999999999,57.333333333333336,16.666666666666668,4.333333333333333,19.5,0.0,0.0,1.0,1.3333333333333333,0.0,48.0,10.0,2.0,18.46666666666667,0.0,0.3333333333333333,0.3333333333333333
36,2023-10-27,21,11,4,7,2,1.0,0.0,0.6,0.2,65.0,3-4-3,Isidro Díaz de Mera,12.0,2.0,17.1,0.0,0,0,2024,0,35.0,4-4-2,4.0,2.0,18.9,0.0,0,0,2,1.5666666666666664,1.8333333333333333,63.666666666666664,17.333333333333332,5.333333333333333,20.0,0.3333333333333333,0.0,2.0,1.0,0.0,45.666666666666664,17.333333333333332,5.333333333333333,18.566666666666666,0.3333333333333333,0.0,0.3333333333333333
37,2023-11-27,21,14,0,7,0,1.0,1.0,1.3,1.5,60.0,4-4-1-1,Mario Melero,13.0,2.0,15.6,0.0,0,0,2024,2,40.0,4-2-3-1,13.0,6.0,15.8,0.0,0,0,2,2.4333333333333336,2.933333333333333,56.333333333333336,14.0,4.0,14.5,0.3333333333333333,0.0,2.3333333333333335,3.0,0.0,52.666666666666664,16.333333333333332,8.333333333333334,15.633333333333335,0.0,0.3333333333333333,0.3333333333333333
38,2023-12-02,14,15,5,7,12,2.0,1.0,1.6,1.0,77.0,3-4-3,Javier Villanueva,9.0,5.0,13.5,0.0,0,0,2024,0,23.0,4-4-2,9.0,3.0,16.7,0.0,0,0,0,2.6666666666666665,1.1333333333333333,54.666666666666664,14.333333333333334,4.0,14.0,0.3333333333333333,0.0,2.3333333333333335,0.6666666666666666,0.0,49.0,9.333333333333334,1.6666666666666667,19.033333333333335,0.6666666666666666,0.3333333333333333,0.3333333333333333
39,2023-12-18,21,17,0,7,17,3.0,0.0,1.7,0.7,66.0,3-4-3,Francisco Hernández,8.0,3.0,16.2,0.0,1,1,2024,0,34.0,3-4-3,12.0,2.0,21.5,0.0,0,0,2,1.8,1.0,61.0,12.333333333333334,4.666666666666667,14.166666666666666,0.0,0.0,2.3333333333333335,1.0,0.0,40.333333333333336,11.333333333333334,4.0,19.7,0.6666666666666666,0.0,0.0
