,date,time,round,day,home_team,away_team,goals_home,goals_away,xg_home,xg_away,poss_home,formation_home,referee,sh_home,sot_home,dist_home,fk_home,pk_home,pkatt_home,season,target,poss_away,formation_away,sh_away,sot_away,dist_away,fk_away,pk_away,pkatt_away
85,2024-01-02,19:15,19,1,4,17,1.0,1.0,1.2,1.0,53.0,4-3-3,Víctor García,16.0,5.0,14.8,0.0,0,0,2024,2,47.0,4-2-3-1,6.0,1.0,23.6,1.0,1,1
86,2024-01-27,14:00,22,5,4,11,0.0,0.0,0.2,0.1,51.0,5-3-2,Alejandro Hernández,6.0,3.0,21.0,0.0,0,0,2024,2,49.0,4-4-2,5.0,0.0,28.3,1.0,0,0
87,2024-02-10,16:15,24,5,4,8,0.0,1.0,1.5,0.5,68.0,4-3-3,Isidro Díaz de Mera,21.0,3.0,15.2,1.0,0,0,2024,1,32.0,5-3-2,9.0,2.0,25.9,2.0,0,0
88,2024-02-23,21:00,26,4,4,16,1.0,3.0,1.5,1.0,70.0,4-1-4-1,Javier Villanueva,21.0,7.0,18.2,2.0,0,0,2024,1,30.0,4-4-2,6.0,4.0,11.8,0.0,0,0
89,2024-03-15,21:00,29,4,4,13,2.0,0.0,1.9,0.8,63.0,4-3-3,César Soto,14.0,6.0,14.3,0.0,0,0,2024,0,37.0,4-4-2,13.0,2.0,20.0,1.0,0,0
90,2023-08-18,21:30,2,4,12,6,1.0,0.0,1.5,0.5,39.0,4-4-2,Javier Villanueva,8.0,3.0,17.3,0.0,1,1,2024,0,61.0,4-3-3,7.0,1.0,23.6,1.0,0,0
91,2023-08-27,19:30,3,6,12,8,1.0,2.0,1.7,1.2,64.0,4-4-2,Juan Pulido,16.0,4.0,15.6,0.0,0,0,2024,1,36.0,4-3-3,6.0,1.0,13.8,0.0,1,1
92,2023-09-16,16:15,5,5,12,5,3.0,0.0,1.3,0.6,37.0,4-2-3-1,Jesús Gil,12.0,8.0,16.2,1.0,0,0,2024,0,63.0,5-3-2,11.0,3.0,17.8,1.0,0,0
93,2023-09-27,21:30,7,2,12,4,0.0,1.0,0.4,0.2,38.0,4-2-3-1,Alejandro Hernández,9.0,2.0,27.2,2.0,0,0,2024,1,62.0,4-3-3,2.0,1.0,18.5,0.0,0,0
94,2023-10-23,21:00,10,0,12,13,2.0,0.0,1.5,0.6,61.0,4-2-3-1,Pablo González,12.0,4.0,16.8,1.0,0,0,2024,0,39.0,4-4-2,5.0,4.0,9.9,0.0,0,0
95,2023-11-05,16:15,12,6,12,14,1.0,0.0,1.2,0.5,51.0,4-4-2,Víctor García,10.0,1.0,25.1,1.0,1,1,2024,0,49.0,4-2-3-1,6.0,1.0,19.7,2.0,0,0
96,2023-11-25,16:15,14,5,12,2,0.0,0.0,0.5,0.8,53.0,4-4-2,César Soto,8.0,0.0,15.7,1.0,0,0,2024,2,47.0,4-4-2,13.0,1.0,21.9,1.0,0,0
97,2023-12-16,21:00,17,5,12,10,1.0,1.0,0.5,3.2,37.0,4-4-2,Miguel Ángel Ortiz Arias,11.0,4.0,20.1,1.0,0,0,2024,2,63.0,4-3-3,16.0,7.0,14.0,0.0,0,0
